# run=20260923_222840,timestamp=1790195320,balls=5,catches=36,sampleRate=25,units=milli_g,source=watch,countMode=watch_hand,detectedAtCapture=36
x,y,z
496,16,-992
604,-544,-292
-292,-180,-904
-380,-436,-808
-436,-1124,-788
924,868,-1056
84,-116,-1028
120,-152,-1004
84,-72,-948
48,-48,-996
32,-24,-1076
44,-28,-1056
36,52,-1028
64,172,-1024
124,-116,-932
32,-520,-892
-72,-84,-976
-92,380,-904
-72,244,-868
8,28,-964
60,164,-980
20,200,-960
40,-20,-1036
44,-352,-1004
-4,-260,-952
-24,-124,-764
-48,140,-396
-104,416,-128
-96,580,-20
68,732,120
156,1060,612
360,1028,704
380,1568,828
-4,2264,1144
-148,2524,1024
-96,2732,928
276,2328,1044
580,1604,956
728,828,612
808,-360,580
748,-1860,800
840,-1896,936
724,-880,920
680,484,992
276,2368,524
-404,3492,800
-456,4204,1108
-280,4232,1692
296,3008,1416
716,1532,656
612,-1268,1008
1296,-2424,384
1276,-1684,868
900,-552,752
552,560,808
-132,2084,1392
-868,3336,1832
-932,3628,2212
-284,3768,1972
492,2524,1544
736,1144,-100
340,484,388
524,-1212,-1052
368,-968,-56
720,-504,372
892,-508,1488
1116,-964,1428
1016,640,1312
92,1484,1776
-620,2304,808
-1212,3580,1320
-1080,3872,1916
-228,3432,1876
652,1572,216
1004,536,640
1428,-1512,-956
548,-1456,248
192,-672,368
-288,140,1204
-52,420,712
-184,1004,692
-416,1624,864
-532,2668,1412
-632,3360,2256
68,3576,2516
632,2068,852
356,1520,432
404,-508,-180
16,-1124,-788
-32,-884,-64
568,-528,260
852,-172,840
1420,-924,1820
1264,288,1736
624,804,1396
-192,1328,620
-1404,2984,260
-1392,4480,2232
-428,4252,2596
368,2648,-136
792,840,-424
1088,-1772,-2008
864,-1404,12
856,-720,2364
764,-408,2380
764,508,1768
104,864,1648
-216,1208,884
-760,2400,888
-1048,3496,1436
-448,4192,2060
364,2860,932
600,1776,-208
1048,-480,4
1428,-1216,-820
948,-1032,396
708,-608,1008
604,-960,1132
164,444,1072
-796,1184,1212
-900,2220,820
-896,3224,1912
-824,3624,2776
-156,3196,1896
572,1828,244
720,1144,100
952,-1264,-716
808,-1108,-344
772,-1308,696
880,-336,1928
928,-120,1620
172,808,1568
-108,1072,1284
-332,1764,948
-640,2900,1144
-904,3396,1728
-348,3776,1956
604,2680,1100
968,1168,44
976,728,1244
1248,-752,200
728,-892,348
40,-1184,416
-224,-1664,300
648,-580,-332
-64,1056,700
-296,2632,1124
-1084,3368,2508
-704,4264,3096
20,3120,1728
772,1896,124
1024,652,252
828,-84,-88
440,-880,52
536,-828,500
348,-752,1068
152,-328,1652
468,-460,1808
620,852,1184
-160,1564,1696
-280,2996,340
-1320,3856,1200
-560,4596,2364
328,3232,884
684,1572,-456
864,-256,-296
1164,-1436,-1084
824,-772,864
404,-892,1480
32,116,948
-240,556,1204
-256,932,1016
-448,1796,1056
-860,2808,1520
-516,3604,2292
168,3420,1784
608,1844,396
632,1388,864
1284,-248,-60
880,-504,-116
596,-1076,344
424,-1208,632
172,-1588,880
604,-52,428
-352,1172,1852
-84,2356,1164
-920,3108,1856
-632,4260,2412
32,3516,1528
700,1792,96
660,1704,1060
1244,-952,-108
964,-1048,76
324,-1288,656
-32,-1464,556
752,-296,32
-184,416,940
40,1876,1020
-500,2648,1260
-1024,3572,2112
-136,3808,2752
440,2580,1284
788,1344,-32
728,780,860
812,-1356,-548
468,-1300,-288
372,-1008,636
548,-388,1680
648,-16,1136
44,528,932
-736,1480,964
-844,2880,1440
-960,3716,3052
-232,3584,2208
416,2308,508
716,1812,492
1280,-384,260
1152,-1088,-76
788,-1176,444
288,-996,1232
-20,-1140,1280
284,144,1072
-44,1892,1540
-248,2648,1196
-1040,3320,1868
-476,3936,2100
380,3032,1376
584,1616,284
896,996,576
1144,-692,-52
620,-1100,416
188,-1028,448
136,-856,356
24,-300,460
140,88,308
-604,2120,1372
-900,2684,2108
-792,4016,3300
-180,3060,2208
592,1816,256
964,1052,464
1108,-960,-224
916,-968,160
420,-1212,408
12,-664,752
-108,-392,828
176,120,704
-492,1700,1824
-568,2944,1476
-960,4160,2428
-288,3828,1944
584,1984,-164
472,1948,620
996,-792,-416
632,-476,-456
392,-1036,412
420,-780,936
84,-848,1732
488,-536,872
628,892,1212
-392,2168,1556
-764,3076,640
-1112,4032,1632
-264,4176,1516
264,2452,-116
276,1780,-352
488,-1224,-608
580,-1104,-892
1252,-1228,728
1284,-180,2708
1160,40,2124
504,584,1772
-72,1132,1212
-500,2336,192
-1164,3368,528
-756,4320,1952
48,3724,924
480,1756,-224
672,396,572
1080,-1580,-452
1092,-1332,468
636,-816,1256
276,-676,892
208,424,660
-596,1776,1280
-824,2812,1292
-1132,3728,2292
-228,3980,1988
372,2584,596
320,1668,-80
152,-576,-264
152,-1124,-760
552,-948,316
1108,-216,1044
1376,-836,1432
1116,272,1328
264,1040,1484
-468,1780,860
-1460,3304,908
-1600,4060,1904
-628,3940,1824
624,2120,360
1280,940,1072
1372,-1084,144
636,-1608,188
-236,-1968,976
384,-1264,-256
-512,-100,1020
-40,1552,476
-660,3084,1312
-588,3912,2276
156,3936,2484
580,2304,580
888,1612,516
1468,-932,-388
1128,-1076,-188
384,-1432,724
-80,-888,1280
-364,-480,1200
216,400,720
-352,1640,1336
-432,2448,1656
-540,3368,1960
-288,3692,2372
468,2668,1136
708,1468,140
872,292,504
964,-568,-276
444,-768,512
200,-944,528
-8,-944,512
284,-968,296
24,644,912
-456,2232,1556
-932,3116,1784
-712,4140,2736
16,3372,1796
