# balls=3,catches=5,detected=4,sampleRate=25,timestamp=1780997903,countMode=watch_hand
x,y,z
92,-252,-744
320,-8,-928
156,4,-880
212,-76,-820
340,-160,-900
408,-12,-976
176,56,-968
188,12,-960
396,92,-960
252,60,-968
236,76,-932
224,64,-956
220,64,-972
240,40,-964
204,76,-948
196,108,-976
212,56,-948
168,260,-932
168,208,-1000
172,68,-976
120,300,-952
140,280,-992
148,148,-976
84,260,-920
96,232,-976
88,260,-996
80,140,-972
-32,88,-1080
788,496,-868
116,80,-892
332,124,-960
260,120,-944
248,108,-960
280,196,-944
264,364,-1020
232,312,-1008
220,324,-984
240,288,-980
284,208,-976
240,180,-964
228,160,-952
196,176,-940
168,176,-916
116,132,-956
96,184,-948
104,112,-964
104,136,-968
116,136,-972
136,64,-964
140,72,-960
108,72,-940
52,88,-912
16,112,-896
-8,116,-908
-28,140,-936
-24,148,-956
-16,184,-984
-4,172,-984
-20,164,-984
-32,180,-992
-60,180,-984
-72,192,-976
-40,184,-988
-16,204,-1008
32,220,-1020
28,188,-1008
8,172,-988
-60,224,-964
-76,268,-952
-36,260,-984
-16,244,-1012
0,228,-1008
-12,288,-1000
-20,272,-968
-16,240,-932
-24,328,-964
-92,344,-952
-136,320,-896
-144,296,-952
-124,232,-964
-112,264,-1008
-92,368,-1036
-88,396,-1000
-120,420,-932
-188,584,-840
-264,928,-660
-408,1280,-496
-472,1240,-304
-560,1264,-72
-548,980,-16
-500,508,-40
-460,136,-116
-472,-144,-20
-408,-260,20
-240,-188,48
-140,-56,156
-12,348,176
188,1112,184
196,1420,704
-44,1652,1216
8,2048,1720
-72,2172,2356
260,2176,2220
272,1696,896
84,1256,68
-76,1012,936
352,-516,-196
-336,208,84
-308,80,396
-384,60,656
-180,-204,148
-616,-296,216
-592,-212,-260
-364,-20,-512
-336,124,-120
-40,500,-4
52,896,632
112,1164,1144
20,1316,1148
-92,1260,1408
-216,1392,1516
-296,1548,1924
-288,1528,2288
36,1516,2244
152,996,560
-128,852,344
4,-176,28
-48,24,-288
-280,-20,184
-436,288,816
-316,520,768
-12,-524,280
-516,832,460
-464,84,-92
-288,168,-28
-228,456,336
-168,644,884
-232,1112,1352
-496,1048,1644
-628,1340,2308
-292,1620,2664
-132,1480,1732
-48,1032,252
-308,1040,816
384,-536,-608
-252,404,-236
-132,-128,520
-296,-284,728
-124,-360,452
-796,64,384
96,-96,-168
-196,428,420
32,800,884
-180,1392,1520
-384,1380,1632
-560,1632,1968
-408,1748,2344
-56,1632,1984
60,1116,352
-168,1188,808
252,-480,-72
36,208,-140
-344,-80,420
-476,-232,648
-440,108,528
-976,236,520
-532,-72,-452
-496,124,-144
-248,52,-8
-24,388,284
36,936,1092
68,1112,1276
-172,1148,1396
-448,1332,1884
-400,1736,2060
-260,1660,2608
28,1336,1664
56,968,440
-268,624,896
556,-316,-488
-160,-68,-304
-332,-112,248
-244,96,416
-460,140,604
-556,-212,396
-528,740,656
-1108,700,684
-748,468,476
-880,772,656
-728,676,584
-660,692,596
-600,756,632
-548,736,568
-492,892,484
-492,1008,352
-444,1032,264
-436,928,140
-440,1008,52
-324,1044,-164
-256,928,-236
-132,888,-444
-48,924,-588
-8,816,-640
28,756,-716
4,596,-800
24,540,-808
40,492,-840
64,356,-896
84,328,-864
84,320,-920
100,280,-948
132,276,-936
144,336,-980
144,348,-980
116,280,-920
184,236,-936
280,336,-992
-148,264,-964
172,32,-932
320,220,-1008
236,212,-1056
60,48,-932
100,216,-992
160,240,-1016
212,184,-1004
# balls=3,catches=15,detected=13,sampleRate=25,timestamp=1780997931,countMode=watch_hand
x,y,z
404,256,-828
136,220,-832
356,36,-868
448,-120,-796
324,32,-848
236,-16,-872
372,112,-908
292,212,-952
360,84,-924
404,156,-928
340,156,-940
252,252,-948
268,128,-960
180,156,-952
272,128,-956
200,176,-916
164,208,-904
168,276,-1004
88,192,-936
212,160,-868
48,236,-956
60,216,-972
44,216,-932
76,172,-1012
64,264,-980
12,352,-936
32,276,-944
212,192,-1068
480,296,-1068
264,188,-932
276,204,-964
256,196,-944
244,196,-948
256,184,-948
244,180,-948
248,192,-940
264,196,-948
280,196,-956
244,172,-972
292,116,-1004
408,140,-1128
580,-40,-1152
600,-180,-1060
636,-344,-1072
716,-144,-1060
656,200,-1228
476,844,-1080
108,1612,-552
-144,1540,-88
-256,1204,136
-388,348,336
-368,-224,324
-376,-384,76
-320,-364,92
-196,-308,16
-116,-52,164
-4,700,388
288,1668,772
-424,2356,1320
-216,2724,1804
-184,1916,2248
104,1744,1824
136,1248,44
-276,1344,584
-108,-920,-208
-296,-424,-700
-564,-528,-164
-300,-20,516
-96,448,1940
400,368,940
-232,476,748
-304,488,340
-248,440,40
-268,800,332
-284,896,652
-368,1176,1080
-820,1152,1776
-804,1460,2032
-584,1516,2216
-236,1172,1204
-184,884,132
-636,544,552
164,-192,-708
-272,132,-164
-252,196,464
-152,172,568
124,-228,184
-60,284,572
-188,612,796
-40,544,680
-56,824,996
-276,872,1476
-712,916,1720
-824,1052,2136
-508,1456,2612
-28,1452,2252
204,1080,548
-148,940,668
204,-648,-260
-104,-12,-272
-116,-300,92
-272,-24,384
328,-504,-296
-52,600,504
-208,528,980
-156,760,808
-308,1076,1228
-604,1188,1692
-672,1496,2448
-296,1700,2868
-228,1488,1436
-80,912,288
-340,656,808
388,-364,-260
-232,128,-28
-116,-252,108
-332,-20,316
-312,-68,208
136,-264,-556
-340,740,296
-260,520,180
-32,836,796
32,788,1672
-140,1008,2216
-448,1340,2500
-216,1240,2724
-244,1448,2032
-16,1108,552
-160,1176,732
120,88,284
68,36,-168
-432,76,96
-316,-188,152
-416,-556,364
136,-728,-368
-164,200,200
-104,224,764
24,992,892
-152,1144,1164
-300,1392,1452
-512,1584,2240
-388,1776,2836
-108,1616,2040
-24,1064,476
-160,992,796
136,-60,20
28,276,-288
-328,32,140
-496,-144,508
-476,-468,564
-256,-76,-20
-684,-224,48
-284,40,-104
36,568,-72
-64,1044,1116
-112,1124,1640
-396,1456,2200
-352,1504,2772
-96,1640,2448
-108,1320,1120
40,988,192
-240,816,916
428,-476,-272
-452,272,-32
-456,-312,320
-504,-392,308
-244,-564,120
-120,164,-560
-524,-144,288
28,508,-116
60,1164,572
-52,908,1428
-376,1088,2104
-592,1396,2192
-260,1408,2604
-116,1508,2188
64,1196,456
8,1384,684
148,-464,204
40,128,-276
-480,-280,108
-512,-648,224
-212,-88,76
-504,-132,416
-108,-68,104
40,576,328
124,1020,928
-216,1396,1640
-412,1552,2028
-328,1816,2628
-236,1912,2128
-160,1348,768
-36,1360,160
4,784,692
360,-884,-196
-416,448,132
-348,128,212
-472,152,488
-604,-368,500
-32,-576,-224
-188,384,368
-324,128,960
88,912,684
-88,1248,1208
-580,1568,1964
-556,1844,2316
-288,2008,2256
-88,1648,1332
-48,1204,392
-264,988,1080
496,-416,-456
-228,540,-268
-168,-428,220
-432,-392,456
-24,-536,60
-336,168,476
-384,-364,600
28,600,344
64,1352,596
-496,1220,1688
-576,1836,1888
-548,1812,2772
-224,1900,1948
-232,1308,456
