# balls=3,catches=11,detected=4,sampleRate=25,timestamp=1780511540
x,y,z
284,1412,164
248,2560,676
-176,2204,628
444,1744,864
664,1700,604
64,1616,688
-168,620,420
-136,-532,-288
-120,-320,-256
-4,248,108
92,724,272
148,780,300
316,820,332
260,724,552
160,604,896
-28,584,1100
44,968,1228
120,1460,1520
456,1752,2128
824,1996,1576
676,1620,-464
-56,1148,576
-236,-736,-804
-68,748,-456
-268,32,1332
16,-44,1104
344,132,1228
732,160,948
528,468,868
544,384,1052
400,920,1284
344,1504,1308
556,1716,1812
1016,1888,1624
1032,1360,92
396,900,4
76,288,244
176,-264,-344
-212,380,148
-388,172,1000
-280,-168,972
-176,192,668
184,-116,268
136,284,980
392,460,1004
540,616,1224
608,1128,1464
556,1344,1944
832,1576,2028
1180,1676,1580
924,1184,112
320,1020,240
84,212,480
32,-212,-280
-272,460,-64
-320,184,292
-236,16,552
-112,-44,684
68,-88,536
488,152,808
524,552,1196
572,676,1364
508,1164,1384
424,1276,1616
376,1588,1756
684,1624,1980
988,1464,1492
768,912,-36
236,764,312
44,-628,-368
0,316,-504
-184,-56,152
-268,200,824
-204,212,1188
308,172,1032
248,688,1176
216,812,1140
180,764,796
72,876,748
96,856,784
84,912,628
212,892,580
192,948,756
220,1020,720
216,1036,664
176,1008,728
92,948,692
28,964,748
-92,1120,836
-188,1160,956
-168,1292,1296
56,648,880
244,1168,552
356,644,444
-228,1108,52
-304,704,28
-192,552,-208
-184,32,-352
-204,92,-584
-84,224,-744
-76,176,-848
-68,108,-932
-20,152,-976
0,156,-1040
36,96,-1088
0,44,-1044
-24,40,-1036
-36,52,-1020
-48,40,-988
-28,16,-988
-36,48,-1012
-16,40,-1008
-16,36,-1008
-24,56,-1008
-12,72,-1012
12,48,-996
-24,56,-992
-20,64,-992
-32,60,-968
-32,60,-980
-32,68,-976
-8,68,-980
-20,60,-996
-36,64,-980
-20,68,-976
-16,56,-984
-24,52,-984
-24,56,-972
-8,44,-988
-16,64,-976
-16,56,-992
-12,64,-988
-8,52,-980
-8,48,-976
0,60,-984
-4,48,-992
12,44,-980
20,56,-980
4,64,-988
16,48,-1000
8,56,-992
-8,56,-972
8,56,-996
0,56,-980
-4,52,-996
8,48,-992
-4,56,-988
-40,28,-996
112,36,-1120
24,56,-976
8,64,-972
12,32,-964
32,36,-1000
48,44,-1024
24,36,-984
24,44,-988
20,40,-984
32,52,-988
20,60,-984
44,48,-984
36,60,-976
20,64,-980
28,68,-984
36,68,-984
20,68,-976
4,68,-984
-20,44,-976
56,68,-960
-8,48,-944
20,40,-976
88,20,-956
108,68,-976
148,116,-1012
112,60,-976
140,24,-984
112,40,-1004
124,-16,-1000
124,28,-988
156,12,-1000
144,24,-1000
160,4,-992
188,20,-988
144,40,-964
192,16,-964
188,20,-968
200,24,-964
168,36,-964
156,20,-972
188,36,-972
172,32,-960
168,24,-972
168,36,-956
164,28,-960
176,28,-972
168,28,-968
168,24,-972
152,32,-964
172,28,-964
172,40,-964
168,28,-968
# balls=3,catches=34,detected=6,sampleRate=25,timestamp=1780511578
x,y,z
484,624,-1036
436,732,-944
408,588,-968
364,592,-960
328,540,-944
352,496,-848
336,504,-848
308,500,-868
344,464,-856
316,440,-836
304,448,-848
268,396,-820
236,368,-788
256,372,-800
228,300,-776
228,304,-776
220,352,-812
192,328,-816
200,244,-848
176,344,-852
172,324,-840
188,216,-840
164,300,-884
152,300,-892
172,236,-912
184,216,-916
188,284,-940
172,312,-960
164,264,-964
160,240,-952
132,244,-940
136,224,-944
136,192,-956
140,148,-948
156,72,-928
188,-40,-948
256,-44,-960
288,48,-892
300,80,-828
296,180,-736
252,296,-660
240,732,-576
160,1544,-524
-8,2224,-392
-80,1660,-24
84,2364,856
152,1408,952
-48,980,716
-28,468,492
-92,180,384
-144,-420,416
-256,-748,432
-120,-800,452
-44,-360,548
124,228,532
328,896,784
480,1320,1128
416,1720,1328
172,1800,1760
84,2192,2104
92,2244,2032
96,2040,2040
496,1972,2276
888,1660,1340
724,1280,92
88,860,972
440,-648,-524
-36,-104,-632
-220,-360,376
-204,304,624
-392,420,972
-532,116,1168
20,280,240
-592,-28,404
-648,272,324
-520,148,20
-376,304,28
-312,348,212
-200,356,444
40,500,676
148,660,860
228,788,1184
260,864,1328
284,1304,1512
108,1680,1744
52,1796,1712
20,1792,1892
292,1640,2216
804,1612,2236
932,1180,892
532,1012,204
-32,-476,232
112,-848,-952
-180,-708,-468
80,44,1080
160,580,1852
228,504,1188
-928,4,1332
-412,432,224
-896,200,316
-476,100,184
-368,216,164
-172,376,248
-20,292,496
100,396,716
156,528,896
268,644,984
288,804,1292
184,1196,1548
52,1660,1812
-20,1960,1900
0,2036,1908
248,1940,2124
904,1852,2352
1036,1308,756
492,1232,848
500,-572,-168
332,-52,-664
48,-520,-496
-188,-412,220
-88,-76,520
-52,628,1364
-296,604,2388
-68,168,400
-580,284,816
-288,464,400
-312,316,308
-204,368,216
-136,408,288
-156,444,428
48,592,412
128,492,692
156,908,988
156,1072,1152
112,1480,1632
56,1872,1928
192,2264,2112
468,2088,2516
840,1788,1604
624,1420,-96
-212,772,604
-288,-856,-1260
-252,100,-860
-36,-248,-236
208,224,820
884,288,1428
576,112,1652
352,-104,840
-56,208,984
-64,64,484
52,-88,464
120,188,376
160,508,496
336,932,788
324,1280,1332
180,1792,1396
24,1684,1504
-88,1968,1584
-268,1980,2016
108,2020,2520
676,1864,2012
672,1320,476
464,1168,464
364,172,584
-72,-608,-156
-248,176,-244
-432,-424,80
-580,100,652
-160,168,656
-160,116,844
56,-292,200
148,404,256
-256,364,384
28,496,592
80,808,792
236,940,1120
-56,1344,1632
-288,1580,1868
-192,1908,2440
172,2276,2356
296,1956,1440
348,1672,236
124,1020,608
-180,-444,96
-192,-304,-312
-212,24,-232
-164,-172,340
-168,88,564
-12,-24,572
-44,0,540
232,-288,76
416,644,576
-72,872,1164
272,844,1020
-72,1072,1756
-308,1456,2008
-344,1772,2148
-140,1816,2324
128,1680,1420
200,1324,180
-24,1412,460
-36,-8,288
-156,-248,-256
-304,224,-40
-176,-16,424
-144,76,780
8,-192,972
268,-212,432
380,40,648
-88,392,1440
-28,1008,1320
-428,1552,1628
-584,1760,2448
-20,1904,2112
92,1608,800
24,1228,376
-88,220,428
-160,-224,72
-220,-124,-36
-156,-48,308
-216,236,448
132,-16,-108
208,464,540
-200,992,1560
-40,764,1508
-68,1256,1736
-116,1256,2228
324,1544,2184
580,1340,804
264,1224,260
-128,160,632
-44,-352,-200
-224,84,-28
-168,-64,376
-128,84,512
84,-76,256
0,484,1068
-232,648,1804
-48,868,1912
-4,1448,2392
276,1428,2180
348,1288,804
208,1012,20
-276,-28,56
232,-8,-872
-12,244,316
-48,200,908
-40,32,1044
192,80,976
332,204,1144
216,720,1400
92,1176,1680
76,1544,1852
252,1400,2056
444,1504,1488
340,1292,-20
-76,968,548
-16,-372,-160
-48,-160,-276
-84,24,296
-48,52,824
24,132,660
172,152,628
180,284,1148
20,1132,1496
-16,1204,1860
0,1596,2212
284,1484,1960
332,1364,948
180,1172,216
-132,784,1012
324,-460,-220
-80,352,-72
-192,-196,440
-492,60,712
-164,-140,284
80,-24,44
-36,484,616
-204,916,1360
-184,1152,2108
88,1372,2576
408,1688,2208
412,1320,1032
200,1120,24
-220,744,492
168,-608,-488
-60,76,-188
80,-24,304
72,56,676
40,-116,896
92,136,1308
84,640,1580
-52,1152,1952
168,1460,2156
420,1836,2132
568,1600,1064
300,1532,148
40,652,1024
332,-476,-356
-384,292,208
-440,-304,384
-540,8,564
-112,-180,32
-88,144,112
-172,156,572
152,420,556
324,724,840
384,772,1224
344,924,1552
276,1084,1628
340,1304,1812
292,1636,1984
344,1628,2232
772,1740,2512
1032,1488,1196
760,1012,-20
224,1052,1600
636,-552,-192
56,64,-264
-308,-312,-56
-608,8,136
-604,88,216
-800,160,576
-728,-336,244
-268,348,-28
-892,28,628
-712,-216,136
-456,124,-196
-440,344,-60
-328,348,120
-124,376,140
104,516,340
280,484,852
488,796,1300
512,932,1396
540,1156,1760
372,1588,1988
160,1840,2104
44,2068,2304
432,2100,3160
1032,1852,2052
1012,1128,436
644,680,1492
1012,-392,160
340,-164,-52
-84,-388,188
-304,-336,92
-456,-160,44
-652,192,120
-932,100,164
-784,-108,-664
-820,768,-4
-1308,36,728
-884,412,32
-732,424,32
-596,436,236
-396,436,204
-288,444,240
-136,480,316
4,360,444
136,476,816
300,596,984
332,836,1176
336,1012,1572
352,1248,1792
196,1496,1836
132,1604,1876
112,1648,1660
192,1644,2164
868,1676,2772
1212,1328,1116
848,924,184
372,100,852
660,-820,-808
156,-364,-796
-20,-488,180
-152,0,756
-216,348,1404
-228,-144,756
-1192,248,1344
-1236,472,544
-1056,128,72
-936,384,264
-644,356,424
-384,464,432
-224,400,480
-160,388,496
-36,444,516
100,336,532
156,432,812
268,428,924
448,708,936
432,980,1344
432,1104,1620
276,1560,1864
124,1828,1972
96,1940,1972
352,1704,2264
1036,1620,2652
1256,1184,988
880,1016,328
512,124,828
612,-652,-592
12,-196,-424
-156,-352,-4
-360,340,632
-552,544,1064
-428,-452,616
-588,444,872
-1264,-324,792
-1196,140,100
-1152,204,24
-1028,208,92
-928,232,172
-844,208,208
-848,220,240
-860,284,272
-876,288,220
-900,364,212
-900,432,224
-892,508,276
-872,552,276
-828,644,252
-812,668,300
-808,696,320
-748,676,312
-720,568,344
-668,600,376
-588,536,388
-564,528,416
-508,552,520
-368,656,436
-320,660,440
-264,648,532
-180,760,548
-96,928,680
-24,832,756
156,932,580
264,1108,648
224,1076,732
324,1136,648
404,1160,656
500,1108,732
580,1100,776
608,1128,716
516,1096,616
392,984,528
280,956,528
260,888,456
188,896,384
160,916,316
140,852,272
84,1036,212
140,1172,-4
304,1264,-148
408,1080,-368
412,920,-540
396,612,-604
388,496,-652
356,300,-744
340,256,-792
324,280,-832
316,168,-840
284,128,-864
256,104,-900
228,64,-868
200,80,-880
156,-16,-904
96,-20,-912
76,-20,-944
100,-92,-968
48,40,-1004
100,-48,-980
156,0,-968
180,32,-936
184,4,-944
184,44,-952
192,100,-940
156,144,-944
120,140,-952
108,172,-1000
128,220,-1036
132,180,-1028
136,124,-1036
112,164,-1036
116,172,-1032
68,136,-1016
84,108,-976
76,108,-992
44,108,-964
64,84,-988
40,76,-960
16,92,-956
32,68,-972
24,108,-996
44,80,-1004
112,64,-1024
108,92,-984
116,36,-996
184,32,-1008
188,-8,-968
192,8,-964
224,8,-968
220,-12,-944
216,-20,-948
192,-20,-960
208,-40,-940
188,-60,-948
196,-72,-944
180,-60,-952
180,-64,-960
176,-32,-960
172,-76,-936
172,-64,-964
156,-80,-968
160,-72,-976
136,-68,-960
128,-72,-972
84,-56,-980
64,-56,-968
88,-52,-952
64,-44,-976
56,-56,-972
36,-40,-984
24,-52,-980
16,-40,-972
-12,-48,-964
-4,-40,-960
20,-24,-984
4,-40,-992
-8,-32,-996
-20,-36,-984
-16,-32,-992
-24,-48,-992
-24,-40,-980
-4,-52,-984
-20,-40,-980
-20,-44,-972
-12,-48,-976
-20,-52,-964
-16,-56,-968
-24,-68,-968
0,-48,-992
-12,-48,-992
-8,-64,-984
-12,-72,-988
-20,-64,-976
-12,-64,-984
-12,-56,-988
-24,-68,-992
-20,-68,-984
-20,-72,-972
-20,-76,-988
-16,-80,-976
-20,-76,-988
-24,-72,-980
-20,-88,-984
-8,-84,-976
-20,-84,-972
-20,-88,-964
-12,-96,-976
# balls=5,catches=8,detected=2,sampleRate=25,timestamp=1780511671
x,y,z
56,-312,-804
104,-92,-368
304,96,-508
276,416,-440
288,812,-132
436,944,88
644,1140,280
596,1680,428
576,1512,284
604,996,212
580,1300,100
624,1412,144
712,1180,-216
676,1192,-284
744,1104,-360
684,720,-476
556,616,-532
536,432,-584
480,260,-632
432,324,-692
388,272,-716
356,152,-756
368,200,-792
364,240,-788
332,152,-744
284,128,-692
276,80,-660
284,-284,-716
344,-384,-772
712,1056,-796
652,2636,496
312,2656,740
384,1940,1028
372,1660,1404
440,948,988
428,464,600
592,-344,40
348,-1176,256
292,-1992,372
488,-1056,272
484,-304,888
596,808,1648
352,1984,1492
-28,1948,2196
-340,2456,2684
-224,2524,2560
200,2444,2808
664,1788,1460
696,1068,840
600,-916,1396
824,-2424,324
880,-1904,556
836,-796,636
768,492,1108
-4,2068,1860
-1068,2644,2576
-1468,2272,3564
-916,2032,4040
308,1144,1940
1160,692,772
1160,-864,284
860,-308,-1048
32,-1008,-436
204,-412,100
-176,-1028,344
-452,308,616
120,84,464
168,760,1124
-8,1240,2148
-696,1596,3232
-788,1956,4220
-136,1880,3372
648,1492,1344
832,1324,1176
1300,-864,-64
1212,-876,-356
692,-1640,516
-100,-708,460
96,-496,144
-640,-364,376
228,820,132
128,876,1216
44,952,1768
-392,1512,2396
-1000,1840,3168
-312,2124,3928
208,1916,2492
600,1420,448
348,256,944
804,-680,-1384
380,-256,-1072
744,-756,-524
668,-948,936
1192,-340,912
-100,-408,2420
468,320,920
100,1120,780
-104,1420,1348
-896,2524,1576
-852,2896,1636
-688,3364,2768
220,2908,1876
376,2084,332
588,444,-888
740,-816,-2140
968,-1100,-532
2048,-2244,1532
2104,-884,1928
1328,-156,1908
768,708,876
-164,1312,796
-1352,2468,1088
-1716,4364,2584
-1012,3636,2156
-568,2408,1464
16,1112,780
64,8,-52
-40,-180,244
260,-192,500
412,404,1152
1040,88,-208
84,-24,1344
-176,-188,980
-276,-164,276
-600,68,400
-720,224,88
-900,336,20
-728,788,-76
-696,768,216
-532,976,244
-536,976,428
-296,1024,744
-96,1264,1576
188,640,1824
196,1808,1504
0,672,1352
-212,832,708
-288,428,296
-328,452,12
-376,484,-212
-380,552,-336
-300,652,-400
-248,644,-368
-220,604,-364
-268,732,-304
-228,1000,-372
-240,1080,-428
-244,988,-472
-200,972,-516
-84,1056,-616
-32,972,-628
-20,936,-640
24,952,-688
36,876,-704
44,836,-736
68,812,-796
40,636,-800
76,696,-832
76,656,-860
40,484,-864
56,508,-856
76,512,-916
80,456,-916
80,444,-920
68,384,-940
72,360,-924
84,336,-896
68,296,-884
84,352,-904
100,324,-904
108,336,-948
136,368,-976
196,312,-988
160,332,-944
180,364,-976
224,380,-968
236,340,-944
240,364,-912
252,360,-888
276,344,-868
304,340,-876
320,332,-864
328,340,-860
336,328,-860
336,348,-852
336,348,-868
408,248,-744
328,420,-876
308,316,-872
368,308,-884
312,300,-872
328,272,-896
352,276,-904
300,280,-872
316,348,-920
372,280,-916
284,288,-892
292,272,-900
316,256,-892
316,272,-900
312,224,-876
304,260,-880
328,248,-932
364,232,-908
260,304,-920
380,232,-936
372,280,-924
300,252,-888
288,252,-880
280,252,-896
272,256,-884
300,292,-924
284,284,-932
292,272,-936
292,284,-936
280,292,-936
288,236,-944
284,240,-928
300,248,-940
280,268,-936
268,240,-932
232,320,-840
248,288,-900
204,312,-896
284,220,-912
252,308,-908
272,276,-908
264,304,-912
252,284,-916
248,296,-916
248,308,-924
244,292,-912
228,296,-908
236,312,-920
260,328,-916
244,320,-912
240,324,-908
248,324,-920
240,320,-920
260,316,-916
248,316,-908
256,336,-908
252,316,-908
240,312,-904
240,316,-908
240,328,-932
256,312,-912
252,328,-904
256,320,-912
248,312,-900
248,320,-908
264,320,-904
268,332,-900
264,316,-920
252,324,-904
260,328,-892
260,328,-904
260,316,-904
# balls=5,catches=25,detected=2,sampleRate=25,timestamp=1780511744
x,y,z
396,-128,-832
68,-400,-880
220,-376,-968
332,-360,-940
300,-364,-980
260,-300,-988
196,-252,-916
232,-316,-892
188,-284,-896
188,-284,-876
224,-284,-892
220,-252,-916
228,-296,-916
240,-228,-900
228,-252,-920
200,-256,-924
236,-232,-908
228,-252,-900
244,-212,-956
228,-240,-912
224,-236,-932
248,-212,-948
268,-256,-964
252,-140,-964
216,-168,-988
160,-172,-1024
160,-128,-1016
148,-72,-1000
188,-216,-1044
100,-228,-812
0,-60,-728
156,0,-924
164,-376,-928
364,-188,-1092
336,96,-868
188,-44,-408
40,136,112
-96,520,404
28,896,344
0,1020,924
-180,1840,1396
-356,2448,1864
-236,2780,1896
44,2132,1784
132,1740,1720
372,968,1120
580,340,568
688,-720,480
500,-2128,984
904,-2060,636
724,-1072,664
760,244,1660
408,1884,2036
-484,3060,2304
-1012,3684,3268
-760,3568,3584
80,2420,2560
888,1164,1188
1360,-1920,568
1940,-2784,-228
1304,-1828,292
840,-608,640
756,340,1568
104,1804,2692
-1380,2468,3048
-1668,2532,3724
-1004,2464,4248
248,1768,2480
944,1744,1048
1280,64,292
1144,-212,-960
364,-512,-148
140,-880,-16
88,-416,352
224,-392,1068
368,-544,1644
940,-304,568
-100,-420,1616
504,268,1616
296,1812,1828
-764,2412,2308
-1372,2824,2860
-1248,2964,4052
-68,2192,3632
1092,1440,1112
1556,776,1024
1956,-1112,-884
1312,-1384,-240
96,-1024,588
144,-920,-736
-412,-128,660
-8,-20,624
28,600,1248
24,940,1568
-568,1940,2636
-760,2876,3500
148,3132,4056
544,2108,2408
484,1220,632
32,-396,-368
-128,-648,-1564
152,-932,-680
756,-176,76
1584,-564,2256
1780,20,2120
1460,-312,288
68,-332,920
444,680,196
324,992,932
-668,1456,1904
-1504,2408,2556
-2068,2744,3324
-1508,3076,4020
-172,2476,2752
1352,1952,1164
2260,948,1160
2152,-300,68
1124,-860,800
344,-1308,1480
392,-1132,1788
412,-256,1556
-88,-296,1832
740,608,1072
716,1404,1728
-8,1984,2012
-1404,2556,3176
-800,3332,4536
20,2696,2824
1016,2016,336
1392,476,872
1732,-1252,-1396
1032,-1072,-624
192,-952,904
208,-1332,656
352,48,1248
-332,-36,2084
540,764,1060
128,780,1460
-32,1256,2056
-460,1624,2408
-816,2028,3048
-204,2316,3992
624,1948,2580
1100,1220,404
624,596,1056
1124,-1144,-1208
740,-1020,-472
492,-180,512
156,-404,596
832,-1044,-256
124,256,1388
48,56,1240
548,948,780
408,1040,1708
16,1324,2000
-676,1696,2228
-1100,2196,2880
-796,2332,4456
80,1852,3216
1192,1284,1064
1760,444,772
1608,-1060,-612
880,-1024,-1176
124,-808,484
-96,-1048,912
396,280,640
-712,528,1200
292,276,164
176,748,1048
84,676,1596
-404,1416,1836
-1216,1836,2308
-1632,2204,3484
-912,2580,4308
532,2128,2212
2684,1912,1844
3448,-172,484
1860,-1156,828
-112,-1632,2288
-988,-1456,1668
-1528,-648,1396
-856,-900,636
-120,-20,164
368,236,388
896,932,404
888,856,1444
652,1416,1980
-436,1740,2156
-1028,2340,2860
-436,2808,4012
288,2340,2700
1572,1916,348
2476,740,1348
1868,-2156,-1172
648,-1180,-196
-576,-1920,2428
156,28,916
-1428,-436,1912
12,716,504
128,804,924
244,648,1608
344,1092,1488
-16,1208,2236
-240,1620,2132
-252,2100,2752
608,2268,3636
1176,1852,1764
1180,1128,-520
176,-932,-352
416,-1640,-2424
876,-1168,-1068
1324,-64,2436
1524,-260,2084
356,124,1960
-96,-148,428
20,148,172
524,560,660
752,1168,1496
432,1412,1456
-148,1700,1716
-784,2208,1960
-968,2484,2720
-524,2616,3772
380,1988,2752
1252,1416,796
1360,628,1076
1672,-1172,-872
796,-1192,-940
420,-1012,-172
184,-700,1296
604,-1376,1212
216,648,1528
16,504,908
828,720,1176
588,932,1240
-32,1012,1916
-1112,1480,2528
-1088,2244,2924
-508,2540,4220
516,2068,2620
1244,1264,440
1368,212,572
1468,-1368,-1728
752,-756,1008
484,-544,2056
-1236,-180,1432
-1048,660,376
-980,576,220
-976,584,348
-892,560,484
-788,636,444
-676,784,428
-508,712,524
-344,712,524
-188,660,492
-164,556,428
-228,520,280
-368,328,292
-448,320,300
-816,528,752
-1012,792,1184
-812,720,2248
100,1656,3784
92,64,1508
452,1464,1420
196,504,928
152,492,448
40,592,304
-104,308,368
-168,384,316
-144,724,368
-64,960,524
-36,1040,484
-64,1040,492
-132,1080,444
-152,1116,428
-152,1100,440
-160,1076,384
-140,1088,324
-180,1080,396
-212,1048,424
-232,1012,436
-176,1104,496
-144,1016,464
-172,960,424
-212,968,420
-224,1028,356
-236,1044,288
-216,1092,216
-200,1192,120
-160,1104,-84
-140,1040,-180
-120,1044,-324
-88,956,-512
-96,792,-596
-96,636,-660
-144,532,-744
-104,456,-820
-116,400,-808
-144,248,-852
-116,240,-888
-128,184,-896
-100,140,-928
-80,68,-916
-56,64,-948
-16,56,-956
32,4,-944
76,-24,-932
120,-44,-968
152,4,-968
208,0,-976
224,0,-1004
256,12,-988
264,-24,-992
248,-24,-972
272,-8,-964
292,-24,-964
296,4,-960
304,16,-952
284,4,-944
248,-20,-916
244,-76,-916
268,-28,-948
264,-16,-948
268,-40,-980
232,-20,-940
232,-44,-984
212,-72,-976
216,-36,-972
204,-60,-988
228,-52,-976
204,28,-972
152,24,-948
160,60,-928
132,76,-956
112,108,-952
112,104,-964
120,148,-1004
148,116,-992
136,92,-976
148,108,-988
100,64,-980
176,56,-984
96,56,-976
60,36,-952
112,20,-972
144,24,-972
8,-4,-944
96,-8,-948
68,20,-956
24,-12,-964
128,4,-1032
180,-44,-1084
248,40,-1028
300,20,-1024
260,68,-1024
384,108,-964
360,124,-944
396,56,-936
396,56,-920
400,96,-900
384,108,-896
340,60,-880
372,92,-864
328,124,-876
316,96,-916
316,128,-924
324,136,-932
292,116,-952
288,148,-940
256,96,-912
248,96,-920
240,76,-924
232,120,-968
188,120,-968
140,92,-952
120,104,-952
120,112,-988
84,52,-972
72,92,-944
32,120,-1060
296,100,-1032
76,84,-1008
8,200,-856
256,196,-968
104,64,-964
108,144,-964
144,124,-992
128,100,-976
120,116,-980
120,136,-988
84,124,-968
64,104,-976
80,124,-988
80,124,-996
