# balls=3,catches=40,detected=12,sampleRate=25,timestamp=1780510639
x,y,z
268,736,-792
284,600,-780
220,664,-828
220,412,-900
280,320,-844
268,476,-828
296,300,-872
352,340,-876
284,304,-860
292,292,-852
312,264,-832
292,216,-872
308,196,-900
364,192,-900
300,108,-920
324,64,-912
328,44,-888
324,-24,-916
340,-48,-936
412,-36,-928
420,-100,-964
412,-96,-936
440,-92,-852
388,-216,-820
344,-228,-780
348,-240,-756
360,-328,-744
360,-396,-772
392,-412,-728
436,-428,-708
452,-448,-704
472,-464,-668
456,-496,-644
448,-492,-616
420,-524,-576
396,-532,-544
372,-552,-536
376,-572,-536
420,-572,-528
428,-580,-552
432,-600,-552
444,-592,-548
432,-608,-528
416,-628,-504
416,-648,-496
400,-656,-496
384,-644,-488
356,-660,-512
444,-660,-604
288,-644,-564
300,-640,-504
296,-660,-500
240,-600,-572
324,-628,-604
344,-628,-664
384,-592,-692
240,-644,-692
248,-592,-720
228,-480,-812
264,-416,-860
352,-424,-888
484,-356,-964
620,-324,-1092
700,-320,-1220
716,-212,-1312
604,-36,-1344
424,212,-1196
180,588,-952
-48,500,-708
-248,236,-444
-356,276,-252
-460,232,-120
-484,-112,-16
-448,-176,0
-328,-40,56
-192,44,176
64,340,272
468,1216,308
416,1532,464
408,1484,872
300,1876,1192
208,2152,1264
116,2268,1364
216,2224,1588
616,2108,1732
616,1412,648
-16,1168,504
-200,-292,456
-64,-204,-252
-264,-528,228
-348,244,564
-452,780,688
-128,804,312
-132,960,52
-648,252,496
-424,-12,-32
-256,8,-36
-172,124,120
0,376,368
180,668,756
304,988,1060
168,1216,1308
52,1404,1540
28,2036,1592
72,2316,1708
280,2356,1836
588,2080,1748
608,1316,476
220,1416,724
412,-780,164
248,-92,-452
-60,-512,116
-492,468,888
-456,588,760
-308,200,300
-536,544,192
-708,600,-16
-480,132,-340
-452,180,-80
-244,272,116
-28,504,364
144,624,764
340,820,1024
448,1064,1064
436,1180,1228
372,1280,1372
168,1672,1432
32,1880,1448
36,1908,1676
408,1928,2004
736,1528,1388
564,936,276
136,1136,1084
412,-700,-168
140,-20,-236
-460,-12,436
-588,152,464
-544,52,124
-84,500,-52
-1176,724,888
-656,144,-124
-700,296,-4
-496,276,-28
-296,276,84
-164,364,204
-16,508,384
112,656,812
268,820,964
324,1008,1024
236,1244,1200
164,1472,1208
64,1820,1340
-12,2092,1500
204,2112,1524
608,1964,1692
900,1608,1248
808,1188,168
376,1152,1280
676,-356,-288
40,-40,-48
-496,-224,244
-564,-108,692
-204,-944,-512
-708,492,88
-820,-120,-316
-492,16,-608
-332,72,-260
-204,168,160
60,544,708
296,760,984
396,912,1092
428,1116,1252
364,1336,1448
192,1828,1520
172,2088,1560
268,2216,1576
544,2176,1736
656,1628,544
368,1276,-4
256,-160,592
324,-292,-388
140,-12,-48
-536,248,652
-820,-324,628
-564,880,416
-936,8,492
-724,88,96
-540,28,56
-428,144,208
-220,168,212
-60,528,452
84,652,816
340,972,988
348,1168,1128
160,1696,1308
40,1952,1616
124,2304,1984
440,2380,1908
568,1844,828
412,1332,-192
4,704,564
-64,-908,-588
-312,-304,-736
-412,-376,-252
-424,440,652
96,572,944
-8,-108,1164
336,696,784
28,524,896
-100,376,412
-8,392,228
-4,548,344
188,864,468
336,1004,716
292,1296,1244
224,1772,1196
132,1920,1272
108,2356,1588
320,2276,1812
592,1924,1820
740,1436,776
560,980,60
172,352,468
-12,-480,168
-144,-232,-276
-548,4,132
-644,328,420
-592,100,588
-84,520,444
-616,700,728
-424,208,172
-296,208,48
-188,204,108
-76,348,192
40,600,560
240,780,816
256,1076,1056
172,1400,1260
136,1656,1420
64,2008,1780
180,2108,1768
400,2000,1752
716,1872,1564
652,1040,252
112,904,364
-72,-752,-364
-136,-368,-812
-304,-276,-232
-160,460,612
112,644,1604
88,472,1256
-280,744,628
-500,200,64
-236,164,-24
-216,244,72
-68,376,244
68,572,648
284,884,844
432,1092,904
428,1308,1024
360,1516,1216
304,1740,1256
144,2020,1372
172,1904,1524
488,2100,1992
856,1832,1440
760,964,68
208,1364,1156
684,-848,-28
148,164,-356
-468,-336,272
-636,8,420
-668,176,360
-512,4,224
-56,316,-596
-832,632,512
-368,180,-40
-224,356,-4
-136,320,284
-12,528,748
196,752,1040
324,1028,1144
276,1280,1240
152,1612,1408
36,1872,1480
56,2132,1696
360,2260,2072
688,1840,1332
584,1244,-40
248,1188,628
300,-732,-140
-176,-236,-312
-300,-120,-164
-452,452,548
-500,500,1036
-168,108,832
-388,628,604
-544,316,420
-376,192,84
-328,228,100
-220,244,204
-64,336,392
28,704,760
144,1032,1004
136,1444,1052
-8,1820,1444
4,2060,1720
312,2372,1884
644,2204,1360
496,1300,144
140,1000,304
-52,360,368
-228,-492,-360
-368,-96,-336
-532,-172,160
-400,472,664
-232,624,1220
28,308,700
-352,776,636
-492,440,164
-376,280,120
-176,340,296
4,512,632
84,828,1028
36,1252,1112
-168,1740,1368
-192,2040,1656
112,2244,1880
396,1928,1160
312,1228,200
52,456,524
72,-172,-132
-172,152,88
